To,Direction,Location,I/O Bank,VREF GROUP,I/O Standard,Reserved
clk,Input,PIN_AF14,,,,
hex0[0],output,PIN_AE26,,,,
hex0[1],output,PIN_AE27,,,,
hex0[2],output,PIN_AE28,,,,
hex0[3],output,PIN_AG27,,,,
hex0[4],output,PIN_AF28,,,,
hex0[5],output,PIN_AG28,,,,
hex0[6],output,PIN_AH28,,,,
hex1[0],output,PIN_AJ29,,,,
hex1[1],output,PIN_AH29,,,,
hex1[2],output,PIN_AH30,,,,
hex1[3],output,PIN_AG30,,,,
hex1[4],output,PIN_AF29,,,,
hex1[5],output,PIN_AF30,,,,
hex1[6],output,PIN_AD27,,,,
hex2[0],output,PIN_AB23,,,,
hex2[1],output,PIN_AE29,,,,
hex2[2],output,PIN_AD29,,,,
hex2[3],output,PIN_AC28,,,,
hex2[4],output,PIN_AD30,,,,
hex2[5],output,PIN_AC29,,,,
hex2[6],output,PIN_AC30,,,,
hex3[0],output,PIN_AD26,,,,
hex3[1],output,PIN_AC27,,,,
hex3[2],output,PIN_AD25,,,,
hex3[3],output,PIN_AC25,,,,
hex3[4],output,PIN_AB28,,,,
hex3[5],output,PIN_AB25,,,,
hex3[6],output,PIN_AB22,,,,
key[0],input,PIN_AA14,,,,
key[1],input,PIN_AA15,,,,
key[2],input,PIN_W15,,,,
key[3],input,PIN_Y16,,,,
ledr[0],output,PIN_V16,,,,
ledr[1],output,PIN_W16,,,,
ledr[2],output,PIN_V17,,,,
ledr[3],output,PIN_V18,,,,
ledr[4],output,PIN_W17,,,,
ledr[5],output,PIN_W19,,,,
ledr[6],output,PIN_Y19,,,,
ledr[7],output,PIN_W20,,,,
ledr[8],output,PIN_W21,,,,
ledr[9],output,PIN_Y21,,,,
sw[0],input,PIN_AB12,,,,
sw[1],input,PIN_AC12,,,,
sw[2],input,PIN_AF9,,,,
sw[3],input,PIN_AF10,,,,
sw[4],input,PIN_AD11,,,,
sw[5],input,PIN_AD12,,,,
sw[6],input,PIN_AE11,,,,
sw[7],input,PIN_AC9,,,,
sw[8],input,PIN_AD10,,,,
sw[9],input,PIN_AE12,,,,
